Bus Route,Stop (Intersection),Latitude,Longitude
9020,Emmons Avenue & East 16th Street,40.5833963,-73.9523488
9020,Oriental Blvd & Hastings St,40.5778771,-73.9448184
9020,Oriental Blvd & Amherst St,40.5770368,-73.9519263
9020,Neptune Avenue & Coney Island Ave,40.5819687,-73.9603375
9163,28th Avenue & Harway Avenue,40.5889909,-73.986194
9163,20th Avenue & Cropsey Avenue,40.5999,-73.9945
9111,Benson Avenue & Bay 31st Street,40.6055,-73.9945
9111,Benson Avenue & 19th Avenue,40.6102,-74.0005
9111,18th Avenue & 84th Street,40.6085199,-74.0009759
9111,21st Avenue & 74th Street,40.6101254,-73.9889446
9111,20th Avenue & 77th Street,40.6096948,-73.9929817
9111,17th Avenue & 63rd Street,40.6216787,-73.9912607
9115,Surf Avenue & West 5th Street,40.5750193,-73.9738847
9115,Avenue V & West 11th Street,40.5915,-73.9795
9115,Neptune Avenue & West 5th Street,40.5799935,-73.9726129
9115,Neptune Avenue & Ocean Parkway (Service Rd),40.5805206,-73.9671289
9115,Neptune Avenue & Brighton 5th St,40.5793474,-73.9720961
9115,Neptune Avenue & West 12th Street,40.57956,-73.9797691
9115,Sheepshead Bay Rd & West 5th Street,40.5845,-73.9635
9122,Benson Avenue & 26th Avenue,40.6005,-73.9905
9122,21st Avenue & 84th Street,40.6044433,-73.9948459
9122,20th Avenue & 68th Street,40.6148075,-73.9876559
9122,Bath Avenue & Bay Parkway,40.5988278,-73.997572
9122,26th Avenue & Cropsey Avenue,40.5908138,-73.9916861
9132,Avenue Z & Coney Island Ave,40.5874005,-73.9601429
9132,Avenue X & East 2nd Street,40.5907743,-73.9687799
9132,Avenue Z & West 2nd Street,40.5861952,-73.9711203
9132,Avenue X & West Street,40.5905888,-73.9705687
9158,Benson Avenue & 24th Avenue,40.6025,-73.9925
9158,Highlawn Ave & West 13th Street,40.6045,-73.9805
9158,Avenue O & West 8th Street,40.6145,-73.9705
9158,Avenue K & East 10th Street,40.6235,-73.9635
9158,Avenue I & East 3rd Street,40.6262443,-73.9745832
9284,Avenue P & West 6th Street,40.6085,-73.9775
9284,Avenue P & West 2nd Street,40.6095,-73.9735
9284,Avenue P & West 10th Street,40.6075,-73.9815
9284,West 6th Street & Wolf Place,40.6095,-73.9775
9173,Avenue S & Coney Island Ave,40.6027051,-73.9616776
9173,Avenue R & Ocean Parkway (Service Rd),40.6045,-73.9665
9173,Avenue P & East 10th Street,40.6075,-73.9815
9173,Avenue S & West 6th Street,40.6015,-73.9795
9173,Avenue S & East 2nd Street,40.6025,-73.9745
9249,Brighton Beach Ave & Brighton 11th St,40.5775,-73.9575
9249,Brighton Beach Ave & Ocean Pkwy,40.5764604,-73.9675079
9249,Neptune Avenue & West 37th Street,40.5771307,-74.0031898
9197,23rd Avenue & 63rd Street,40.6136647,-73.9779951
9197,Avenue I & Coney Island Ave,40.6271776,-73.9661153
9197,21st Avenue & 61st Street,40.6174739,-73.9812865
9197,Avenue M & East 16th Street,40.6168487,-73.9593171
9197,Avenue M & Ocean Parkway (Service Rd),40.6168946,-73.9687431
9197,Avenue L & Coney Island Ave,40.619635,-73.9643437
9369,Avenue U & Ocean Parkway (Service Rd),40.5977241,-73.9658832
9369,Avenue W & Coney Island Ave,40.5934814,-73.9609778
